question|answer
elle a de jolis yeux marron clair.|je sais peut-être de quelle fille tu parles 
je sais peut-être de quelle fille tu parles.|alors tu l'as vue dans le coin ? 
alors tu l'as vue dans le coin ?|Oui j'ai.
il y a une nouvelle fille à la banque, tu l'as déjà vue ?|je ne l'ai pas encore vue.
je ne l'ai pas encore vue.|je pense qu'elle est très jolie 
quelle taille fait-elle ?|elle mesure probablement environ cinq pieds.
elle mesure probablement environ cinq pieds.|c'est sympa, mais dis-moi à quoi elle ressemble 
la première chose que j'ai remarquée, ce sont ses beaux yeux bruns.|je pense que je l'ai peut-être déjà croisée par hasard 
sérieusement, ça te va vraiment bien. Où l'avez-vous acheté?|Je l'ai acheté chez Macy's au centre commercial Santa Anita.
j'aime vraiment cette tenue.|merci je pense que tu es jolie aujourd'hui aussi 
merci.|je pense que tu es jolie aujourd'hui aussi merci je viens d'acheter ces nouvelles chaussures plus tôt dans la journée 
merci.|je viens d'acheter ces nouvelles chaussures plus tôt dans la journée c'est sympa quels sont-ils? 
c'est sympa. quels sont-ils?|ce sont des mandrins.
ce sont des mandrins.|c'est super combien étaient-ils ? 
c'est super. combien étaient-ils ?|je les ai eu pour quarante.
je les ai eu pour quarante.|je pense que je pourrais aller me trouver ma propre paire de mandrins 
je pense que tu es très mignon aujourd'hui. Est-ce correct?|c'est une toute nouvelle tenue.
Est-ce correct?|c'est une toute nouvelle tenue. dans quel magasin tu l'as eu
dans quel magasin tu l'as eu ?|je suis allé chez Macy et je l'ai choisi.
je suis allé chez Macy et je l'ai choisi.|j'adore ta tenue en ce moment 
j'adore ta tenue en ce moment.|eh bien, je pense que tu es jolie aujourd'hui aussi 
eh bien, je pense que tu es jolie aujourd'hui aussi.|merci j'ai trouvé ces nouvelles chaussures plus tôt au magasin 
merci.|j'ai trouvé ces nouvelles chaussures plus tôt au magasin je pense que ce sont de très belles chaussures de quel genre sont-ils ? 
je pense que ce sont de très belles chaussures. de quel genre sont-ils ?|ce sont des mandrins.
ce sont des mandrins.|tes chaussures sont vraiment belles tu les as eu combien pour combien ? 
tes chaussures sont vraiment belles. tu les as eu combien pour combien ?|ils ne m'ont coûté qu'une quarantaine de dollars.
dis-moi, qu'est-ce que tu aimes faire pendant ton temps libre ?|j'aime dessiner et peindre.
j'aime dessiner et peindre.|tu sais dessiner et peindre ? 
tu sais dessiner et peindre ?|oui je le fais.
oui je le fais.|quand as-tu appris à faire ça ? 
quand as-tu appris à faire ça ?|j'ai appris au lycée.
j'ai appris au lycée.|oh, alors tu as suivi un cours d'art ? 
oh, alors tu as suivi un cours d'art ?|ouais, j'ai adoré ce cours.
ouais, j'ai adoré ce cours.|je vois que tu es plutôt talentueux 
je vois que tu es plutôt talentueux.|merci beaucoup 
merci beaucoup.|j'aurais aimé avoir un talent comme celui-là 
j'aurais aimé avoir un talent comme celui-là.|je suis sûr que tu as du talent c'est juste caché 
quel genre de choses aimez-vous faire ?|j'ai toujours aimé dessiner et peindre.
j'ai toujours aimé dessiner et peindre.|je ne savais pas que tu savais dessiner et peindre 
je ne savais pas que tu savais dessiner et peindre.|je le fais de temps en temps 
je le fais de temps en temps.|depuis combien de temps sais-tu comment faire ça ? 
j'ai appris à le faire pour la première fois au lycée.|as-tu suivi une sorte de cours d'art ou quelque chose comme ça ? 
as-tu suivi une sorte de cours d'art ou quelque chose comme ça ?|c'était mon cours préféré.
c'était mon cours préféré.|il faut être talentueux 
es-tu allé au match de basket vendredi ?|non, je n'ai pas pu venir.
non, je n'ai pas pu venir.|tu as raté un très bon match 
tu as raté un très bon match. oh vraiment?|qui a gagné
oh vraiment?|qui a gagné? notre banque l’a fait. ils ont vraiment bien joué.
notre banque l’a fait.|ils ont vraiment bien joué dommage que j'étais occupé je voulais vraiment y aller 
dommage que j'étais occupé.|je voulais vraiment y aller ouais, tu aurais dû c'était vraiment excitant 
ouais, tu aurais dû.|c'était vraiment excitant alors quel est le score? 
alors quel est le score?|le score était de 101-98.
le score était de 101-98.|mec, c’était un match vraiment serré 
mec, c’était un match vraiment serré.|c'est ce qui l'a rendu si génial 
c'est ce qui l'a rendu si génial.|je m'en assurerai et j'arriverai au prochain 
as-tu pu assister au match de basket de vendredi soir ?|je n'ai pas pu y arriver.
je n'ai pas pu y arriver.|vous auriez dû être là c'était intense 
vous auriez dû être là.|c'était intense Est-ce correct qui a fini par gagner ? 
Est-ce correct. qui a fini par gagner ?|notre équipe a été victorieuse.
notre équipe a été victorieuse.|j'aurais aimé être libre cette nuit-là je suis un peu en colère de ne pas y être allé 
j'aurais aimé être libre cette nuit-là.|je suis un peu en colère de ne pas y être allé c'était un bon jeu 
c'était un bon jeu.|quel a été le score à la fin du match ? 
quel a été le score à la fin du match ?|notre équipe a gagné 101-98.
notre équipe a gagné 101-98.|on dirait que c'était un match serré 
on dirait que c'était un match serré.|c'est la raison pour laquelle c'était un si bon jeu 
c'est la raison pour laquelle c'était un si bon jeu.|au prochain match, je serai certainement là 
je voulais te demander si tu avais vu le match de basket vendredi.|je voulais y aller, mais je ne pouvais pas 
je voulais y aller, mais je ne pouvais pas.|c'était un bon jeu 
c'était un bon jeu.|c'est dommage que je n'ai pas pu venir qui a gagné? 
c'est dommage que je n'ai pas pu venir. qui a gagné?|notre équipe a joué dur et a gagné.
notre équipe a joué dur et a gagné.|j'aurais vraiment aimé aller au match 
j'aurais vraiment aimé aller au match.|c'était le meilleur jeu de tous les temps 
c'était le meilleur jeu de tous les temps.|alors dis-moi le score final 
alors dis-moi le score final.|l'autre équipe a perdu par trois points, 101-98 
l'autre équipe a perdu par trois points, 101-98.|ça a dû être un match serré 
ça a dû être un match serré.|c'était vraiment le cas tu aurais dû y aller 
Que fais-tu ce week-end?|je vais au cinéma avec un ami. et toi
je vais au cinéma avec un ami. et toi ?|Je ne suis pas encore sûr.
Je ne suis pas encore sûr.|Bien, 
eh bien, tu voulais aller voir un film avec moi ?|quel film vas-tu voir
Je ne suis pas encore sûr. y a-t-il quelque chose que tu veux voir ?|il n'y a rien à quoi je puisse penser.
il n'y a rien à quoi je puisse penser.|alors, tu voulais y aller ? 
alors, tu voulais y aller ?|non, merci, peut-être une autre fois.
non, merci, peut-être une autre fois.|Okay, ça a l'air bien 
tu sais ce que tu vas faire ce week-end ?|je vais voir un film avec un de mes amis. et toi
je vais voir un film avec un de mes amis. et toi ?|je ne sais pas.
je ne sais pas.|Voudrais-tu voir un film avec moi et mon ami ? 
Voudrais-tu voir un film avec moi et mon ami ?|tu sais quel film tu vas regarder
tu sais quel film tu vas regarder ?|je ne sais pas, mais y avait-il un certain film que tu voulais voir
je ne sais pas, mais y avait-il un certain film que tu voulais voir ?|aucun auquel je puisse penser.
aucun auquel je puisse penser.|eh bien, tu veux y aller ? 
eh bien, tu veux y aller ?|merci de m'avoir invité, mais je pense que je vais passer.
merci de m'avoir invité, mais je pense que je vais passer.|d'accord une autre fois alors 
as-tu des idées sur ce que tu veux faire ce week-end ?|je vais au cinéma avec mon ami. Qu'est-ce que tu vas faire
je vais au cinéma avec mon ami. Qu'est-ce que tu vas faire?|je ne suis pas encore sûr.
je ne suis pas encore sûr.|et si tu voyais un film avec moi et mon ami ? 
et si tu voyais un film avec moi et mon ami ?|quel film vous et votre ami comptez regarder
quel film vous et votre ami comptez regarder ?|pas certain. y a-t-il un film qui attire votre attention
pas certain. y a-t-il un film qui attire votre attention ?|aucun bon film ne me vient à l’esprit.
aucun bon film ne me vient à l’esprit.|as-tu décidé si tu souhaites y aller ou non ? 
as-tu décidé si tu souhaites y aller ou non ?|non merci. peut-être une autre fois.
Es-tu allé à la banque aujourd'hui?|ouais, je suis allé à la banque aujourd'hui. Étiez-vous là
ouais, je suis allé à la banque aujourd'hui. Étiez-vous là?|non, je n'y suis pas allé, j'ai été malade.
non, je n'y suis pas allé, j'ai été malade.|ça craint tu voulais les devoirs du cours d'anglais ? 
ça craint. tu voulais les devoirs du cours d'anglais ?|ce serait sympa, merci.
ce serait sympa, merci.|pas de problème, de rien 
pas de problème, de rien.|je serai heureux de faire la même chose pour toi lorsque tu seras malade 
je serai heureux de faire la même chose pour toi lorsque tu seras malade.|bien merci j'espère te voir à la banque demain 
es-tu allé à la banque aujourd'hui ?|j'ai été à la banque aujourd'hui. as-tu
j'ai été à la banque aujourd'hui. as-tu?|je n'ai pas pu aller à la banque parce que je me sentais malade.
je n'ai pas pu aller à la banque parce que je me sentais malade.|je suis désolé d'entendre ça Voudriez-vous les devoirs du cours d'anglais ? 
je suis désolé d'entendre ça. Voudriez-vous les devoirs du cours d'anglais ?|j'apprécierais vraiment cela, merci.
j'apprécierais vraiment cela, merci.|ce n'est pas un problème du tout 
ce n'est pas un problème du tout.|si vous tombez malade, je vous rendrai la pareille 
si vous tombez malade, je vous rendrai la pareille.|merci on se verra demain à la banque si tu te sens mieux 
es-tu allé à la banque aujourd'hui ?|je suis allé à la banque aujourd'hui. êtes-vous allé à la banque
je suis allé à la banque aujourd'hui. êtes-vous allé à la banque?|je ne pouvais pas aller à la banque aujourd'hui, j'étais malade.
je ne pouvais pas aller à la banque aujourd'hui, j'étais malade.|c'est horrible je serais heureux de vous donner les devoirs du cours d'anglais 
c'est horrible.|je serais heureux de vous donner les devoirs du cours d'anglais merci beaucoup, c'est gentil de votre part 
merci beaucoup, c'est gentil de votre part.|n'en parle pas 
n'en parle pas.|lorsque vous manquerez un jour d'banque, je me ferai un plaisir de vous donner les devoirs d'anglais 
as-tu entendu la nouvelle ?|ce qui s'est passé
ce qui s'est passé?|notre cousine a commencé à accoucher et a accouché la semaine dernière.
notre cousine a commencé à accoucher et a accouché la semaine dernière. elle l'a fait ?|pourquoi personne ne me l'a dit
elle l'a fait ?|pourquoi personne ne me l'a dit? j'aurais pensé que quelqu'un te l'aurait dit.
j'aurais pensé que quelqu'un te l'aurait dit.|non, je n'en avais aucune idée 
non, je n'en avais aucune idée.|eh bien, elle l'a fait, son bébé pesait 8 livres 6 onces 
eh bien, elle l'a fait, son bébé pesait 8 livres 6 onces.|oh mon dieu, c'est génial ! 
oh mon dieu, c'est génial ! vas-tu aller lui rendre visite ainsi qu'au bébé ?.|
vas-tu aller lui rendre visite ainsi qu'au bébé ?|je pense que je pourrais.
je pense que je pourrais.|bien! je pensais juste que je te le ferais savoir 
bien! je pensais juste que je te le ferais savoir.|Merci de me le dire 
as-tu entendu ce qui s'est passé ?|entendu quoi
entendu quoi ?|Debrah a déjà eu son bébé.
Debrah a déjà eu son bébé.|je ne le savais pas 
je ne le savais pas.|Je pensais que tu savais 
Je pensais que tu savais.|honnêtement, je ne savais pas 
honnêtement, je ne savais pas.|le bébé pesait 8 livres 6 onces 
le bébé pesait 8 livres 6 onces.|Ça fait plaisir à entendre 
Ça fait plaisir à entendre.|iras-tu leur rendre visite ? 
iras-tu leur rendre visite ?|bien sur.
bien sur.|je voulais juste vous annoncer la bonne nouvelle 
je voulais juste vous annoncer la bonne nouvelle.|Merci de me le faire savoir 
as-tu entendu les informations?|je n'ai rien entendu.
je n'ai rien entendu.|Debrah a eu son bébé la semaine dernière 
je pensais que tu avais entendu.|on ne m'a vraiment rien dit 
on ne m'a vraiment rien dit.|elle était mignonne et pesait 8 livres 6 onces 
elle était mignonne et pesait 8 livres 6 onces.|wow, comme c'est excitant 
Ouah,.|
je sais, tu devrais vraiment aller la voir avec le bébé.|bien sur 
bien sur.|je voulais juste te dire ce qui s'est passé 
Es-tu allé à la banque aujourd'hui?|bien sûr. as-tu
bien sûr. as-tu?|je ne voulais pas, donc je ne l'ai pas fait.
je ne voulais pas, donc je ne l'ai pas fait.|c'est triste, mais es-tu allé au cinéma récemment ? 
c'est triste, mais es-tu allé au cinéma récemment ?|c'est un interrupteur.
c'est un interrupteur.|je suis sérieux, et toi ? 
je suis sérieux, et toi ?|non, je ne l'ai pas fait. pourquoi
non, je ne l'ai pas fait. pourquoi ?|je veux vraiment aller au cinéma ce week-end.
je veux vraiment aller au cinéma ce week-end.|alors vas-y alors 
alors vas-y alors.|je ne veux vraiment pas y aller seul 
je ne veux vraiment pas y aller seul.|bon, de toute façon, tu comptes aller à la banque demain ? 
bon, de toute façon, tu comptes aller à la banque demain ?|non, je pense que je vais aller au cinéma.
es-tu arrivé à la banque aujourd'hui ?|je fais toujours. Es-tu allé à la banque aujourd'hui
je fais toujours. Es-tu allé à la banque aujourd'hui?|non, je ne l'ai pas fait.
non, je ne l'ai pas fait.|tu aurais dû, mais as-tu vu des films récemment ? 
tu aurais dû, mais as-tu vu des films récemment ?|c'était un étrange changement de sujet.
c'était un étrange changement de sujet.|c'était peut-être le cas, mais répondez à la question 
c'était peut-être le cas, mais répondez à la question.|non, pas récemment 
non, pas récemment.|je veux aller voir un film ce week-end 
je veux aller voir un film ce week-end.|qu'est-ce qui t'arrête alors ? 
qu'est-ce qui t'arrête alors ?|je ne veux pas y aller seul.
je ne veux pas y aller seul.|alors, tu seras à la banque demain ? 
alors, tu seras à la banque demain ?|non, je veux plutôt aller au cinéma.
as-tu au moins pris la peine d'aller à la banque aujourd'hui ?|ouais, j'y suis allé. Es-tu allé
ouais, j'y suis allé. Es-tu allé?|non, je n'en avais pas envie.
non, je n'en avais pas envie.|c'est sympa, es-tu allé au cinéma récemment ? 
c'est sympa, es-tu allé au cinéma récemment ?|non, mais c'était un changement de sujet aléatoire.
non, mais c'était un changement de sujet aléatoire.|c'était peut-être aléatoire, mais n'est-ce pas ? 
c'était peut-être aléatoire, mais n'est-ce pas ?|je ne l'ai pas fait ces derniers temps.
je ne l'ai pas fait ces derniers temps.|j'adorerais aller voir un film ce week-end 
j'adorerais aller voir un film ce week-end.|alors pourquoi tu n'y vas pas ? 
alors pourquoi tu n'y vas pas ?|je ne veux pas voir un film tout seul.
merci d'être venu me voir aujourd'hui.|ce n'est pas un problème Tu me manquais vraiment de toute façon 
ce n'est pas un problème.|
tu m'as manqué aussi.|pourquoi n'as-tu pas essayé de venir me voir alors ? 
pourquoi n'as-tu pas essayé de venir me voir alors ?|j'ai été vraiment occupé.
j'ai été vraiment occupé.|faire quoi? 
faire quoi?|fonctionnement.
fonctionnement.|je serais venu te voir plus tôt, mais j'ai aussi été occupé 
je serais venu te voir plus tôt, mais j'ai aussi été occupé.|Qu'avez-vous fait? 
Qu'avez-vous fait?|j'ai travaillé aussi.
j'ai travaillé aussi.|et bien peu importe, je suis très heureux que tu sois venu me voir 
et bien peu importe, je suis très heureux que tu sois venu me voir.|Je suis trop 
je suis vraiment contente que tu sois venu me voir.|j'ai dû tu me manquais beaucoup 
j'ai dû.|tu me manquais beaucoup tu me manquais aussi 
tu me manquais aussi.|alors, pourquoi ne m'as-tu pas rendu visite ? 
alors, pourquoi ne m'as-tu pas rendu visite ?|en fait, j'ai été occupé ces derniers temps.
en fait, j'ai été occupé ces derniers temps.|Qu'avez-vous fait? 
Qu'avez-vous fait?|j'ai juste travaillé très dur.
j'ai juste travaillé très dur.|j'ai aussi été occupé 
j'ai aussi été occupé.|dis-moi ce que tu as fait 
dis-moi ce que tu as fait.|en gros, j'ai travaillé aussi 
en gros, j'ai travaillé aussi.|et bien peu importe, je suis content que tu sois venu 
et bien peu importe, je suis content que tu sois venu.|moi aussi 
je suis vraiment heureux que tu sois venu me rendre visite.|tu m'as vraiment beaucoup manqué 
tu m'as vraiment beaucoup manqué.|Tu m'as manqué comme un fou 
Tu m'as manqué comme un fou.|je ne comprends pas pourquoi tu n'es pas venu me rendre visite 
je ne comprends pas pourquoi tu n'es pas venu me rendre visite.|dernièrement, j'ai été assez occupé 
dernièrement, j'ai été assez occupé.|dis-moi ce que tu as fait 
dis-moi ce que tu as fait.|j'ai vraiment beaucoup travaillé ces derniers temps 
j'ai vraiment beaucoup travaillé ces derniers temps.|j'ai été assez occupé moi-même 
j'ai été assez occupé moi-même.|alors qu'as-tu fait ? 
alors qu'as-tu fait ?|j'ai juste travaillé beaucoup.
j'ai juste travaillé beaucoup.|quelle que soit la raison, je suis heureux que vous m'ayez rendu visite 
Hé, tu as entendu parler de la fête de Jessica ce week-end ?|ouais, mais j'attends toujours mon invitation.
ouais, mais j'attends toujours mon invitation. oh vraiment?|elle m'a donné le mien plus tôt dans la journée.
oh vraiment?|elle m'a donné le mien plus tôt dans la journée. eh bien, elle me donnera probablement mon invitation plus tard dans la journée.
eh bien, elle me donnera probablement mon invitation plus tard dans la journée.|ouais, alors tu comptes y aller ? 
je pense que oui.|on dirait que ça va être très amusant c'est vraiment le cas, j'ai hâte 
c'est vraiment le cas, j'ai hâte.|
à quelle heure commence la fête?|ça commence à 8 heures.
ça commence à 8 heures.|oh, eh bien, à combien de personnes a-t-elle invité jusqu'à présent ? 
oh, eh bien, à combien de personnes a-t-elle invité jusqu'à présent ?|je ne suis pas sûr, mais je ne pense pas qu'elle en ait distribué autant.
je ne suis pas sûr, mais je ne pense pas qu'elle en ait distribué autant.|eh bien, j'espère qu'elle me donnera mon invitation plus tard dans la journée 
As-tu entendu parler de la fête de Jessica samedi ?|j'en ai entendu parler, mais j'attends toujours mon invitation.
j'en ai entendu parler, mais j'attends toujours mon invitation. vraiment ?|j'ai reçu le mien d'elle ce matin.
vraiment ?|j'ai reçu le mien d'elle ce matin. je suppose qu'elle va me donner mon invitation aujourd'hui ou demain.
je suppose qu'elle va me donner mon invitation aujourd'hui ou demain.|tu as probablement raison, tu as l'intention d'aller à la fête ? 
tu as probablement raison, tu as l'intention d'aller à la fête ?|je veux. j'ai entendu dire que ça allait être vraiment amusant.
je veux.|j'ai entendu dire que ça allait être vraiment amusant je sais, ça a l'air plutôt génial 
je sais, ça a l'air plutôt génial.|eh bien, quand commence la fête ? 
eh bien, quand commence la fête ?|c'est censé commencer vers huit heures.
c'est censé commencer vers huit heures.|combien d'invitations a-t-elle distribuées ? 
combien d'invitations a-t-elle distribuées ?|je ne sais vraiment pas, mais je ne pense pas qu'elle en ait encore distribué autant.
je ne sais vraiment pas, mais je ne pense pas qu'elle en ait encore distribué autant.|j'ai vraiment envie d'y aller, alors j'espère qu'elle me donnera bientôt mon invitation 
Est-ce que quelqu'un t'a parlé de la fête de Jessica qui approche ?|on m'en a déjà parlé. j'attends juste mon invitation.
on m'en a déjà parlé. j'attends juste mon invitation. Est-ce correct?|j'ai déjà reçu mon invitation d'elle plus tôt.
Est-ce correct?|j'ai déjà reçu mon invitation d'elle plus tôt. je crois qu'elle me donnera l'invitation aujourd'hui.
je crois qu'elle me donnera l'invitation aujourd'hui.|est-ce que tu vas même y aller ? 
est-ce que tu vas même y aller ?|ouais, on dirait que ça va être la meilleure fête de l'année.
ouais, on dirait que ça va être la meilleure fête de l'année.|exactement, on dirait que ça va être très amusant 
exactement, on dirait que ça va être très amusant.|quand commence la fête exactement ? 
quand commence la fête exactement ?|l'invitation dit que ça commence à 20h00,
a-t-elle déjà distribué beaucoup d'invitations ?|Je n'en ai aucune idée, mais elle n'en a pas distribué beaucoup.
Hé quoi de neuf?|rien vraiment.
rien vraiment.|j'organise une fête vendredi 
j'organise une fête vendredi.|je ne m'en étais pas rendu compte 
je ne m'en étais pas rendu compte.|tu ne l'as pas fait ? 
tu ne l'as pas fait ?|personne ne m'a rien dit à propos de votre fête.
personne ne m'a rien dit à propos de votre fête.|tu voulais y aller ? 
tu voulais y aller ?|ça commence quand
ça commence quand?|à 20h00
à 20h00 je serai là.|
Je serai là.|je ferais mieux de te voir là-bas 
je ferais mieux de te voir là-bas.|bien sûr 
Qu'est ce qui se passe avec toi?|bien. Qu'est ce qui se passe avec toi
bien. Qu'est ce qui se passe avec toi?|j'ai une fête ce vendredi.
j'ai une fête ce vendredi.|Je n'en avais aucune idée 
Je n'en avais aucune idée.|Est-ce correct? 
Est-ce correct?|je n'en ai rien entendu.
je n'en ai rien entendu.|peux tu aller? 
peux tu aller?|quelle heure
quelle heure?|ça commence à 8 heures.
ça commence à 8 heures.|j'y vais 
j'y vais.|j'espère que je vous y verrai 
j'espère que je vous y verrai.|sans aucun doute 
que se passe-t-il?|pas beaucoup.
pas beaucoup.|ce vendredi, j'organise une fête 
ce vendredi, j'organise une fête. oh vraiment?|je ne le savais pas.
oh vraiment?|je ne le savais pas. êtes-vous sérieux
êtes-vous sérieux?|je n'en ai pas entendu parler.
je n'en ai pas entendu parler.|peux-tu le faire? 
peux-tu le faire?|A quelle heure ça commence
